QCID,QuestionaireID,QuestionID,Lower,Upper,AllowNull,LookupQuestionID,lock
147,3,38,0.0,10.0,True,2,0
149,3,18,0.0,10.0,True,2,0
151,3,20,0.0,10.0,True,2,0
153,3,112,0.0,1000.0,False,2,0
155,3,99,0.0,1.0,False,2,0
157,3,97,0.0,1.0,False,2,0
159,3,102,0.0,100000.0,True,2,0
161,3,114,0.0,1.0,False,2,0
163,3,11,0.0,1000.0,False,2,0
165,3,13,0.0,10.0,True,2,0
167,3,15,0.0,10.0,True,2,0
169,3,12,0.0,10.0,True,2,0
171,3,107,0.0,1.0,False,2,0
173,3,228,1.0,4.0,False,2,0
175,3,111,1.0,11.0,False,2,0
177,3,105,0.0,1.0,False,2,0
179,3,226,0.0,1.0,False,2,0
181,3,110,1.0,11.0,False,2,0
4,3,104,1.0,100000.0,True,2,0
6,3,224,0.0,1.0,False,2,0
8,3,220,0.0,1.0,False,2,0
10,3,222,0.0,1.0,False,2,0
12,3,221,0.0,1.0,False,2,0
14,3,223,0.0,1.0,False,2,0
16,3,129,0.0,10.0,True,2,0
21,3,123,0.0,10.0,True,2,0
23,3,136,0.0,1.0,True,2,0
25,3,152,0.0,10.0,True,2,0
26,3,126,0.0,10.0,True,2,0
28,3,119,0.0,10.0,True,2,0
30,3,138,0.0,1.0,True,2,0
32,3,154,0.0,10.0,True,2,0
34,3,121,0.0,10.0,True,2,0
36,3,127,0.0,500.0,True,2,0
38,3,130,0.0,10.0,True,2,0
40,3,133,0.0,1.0,True,2,0
42,3,149,0.0,10.0,True,2,0
44,3,118,0.0,10.0,True,2,0
46,3,147,0.0,1.0,True,2,0
48,3,163,0.0,10.0,True,2,0
50,3,140,0.0,1.0,True,2,0
52,3,156,0.0,10.0,True,2,0
54,3,200,0.0,50.0,True,2,0
56,3,201,0.0,50.0,True,2,0
58,3,205,0.0,50.0,True,2,0
60,3,199,0.0,50.0,True,2,0
62,3,209,0.0,50.0,True,2,0
64,3,210,0.0,50.0,True,2,0
66,3,214,0.0,50.0,True,2,0
68,3,206,0.0,50.0,True,2,0
70,3,207,0.0,50.0,True,2,0
72,3,42,0.0,1.0,True,2,0
74,3,53,0.0,1.0,True,2,0
76,3,44,0.0,1.0,True,2,0
78,3,46,0.0,1.0,True,2,0
80,3,48,0.0,1.0,True,2,0
82,3,50,0.0,1.0,True,2,0
84,3,52,0.0,1.0,True,2,0
86,3,70,0.0,10.0,True,2,0
88,3,81,0.0,10.0,True,2,0
90,3,72,0.0,10.0,True,2,0
92,3,74,0.0,10.0,True,2,0
94,3,76,0.0,10.0,True,2,0
96,3,78,0.0,10.0,True,2,0
98,3,80,0.0,10.0,True,2,0
100,3,56,0.0,1.0,True,2,0
102,3,67,0.0,1.0,True,2,0
104,3,58,0.0,1.0,True,2,0
106,3,60,0.0,1.0,True,2,0
108,3,62,0.0,1.0,True,2,0
110,3,64,0.0,1.0,True,2,0
112,3,66,0.0,1.0,True,2,0
114,3,84,0.0,10.0,True,2,0
116,3,95,0.0,10.0,True,2,0
118,3,86,0.0,10.0,True,2,0
120,3,88,0.0,10.0,True,2,0
122,3,90,0.0,10.0,True,2,0
124,3,92,0.0,10.0,True,2,0
126,3,94,0.0,10.0,True,2,0
128,3,21,0.0,1.0,True,2,0
130,3,24,0.0,1.0,True,2,0
132,3,23,0.0,1.0,True,2,0
134,3,32,0.0,10.0,True,2,0
136,3,35,0.0,10.0,True,2,0
138,3,26,0.0,1.0,True,2,0
140,3,29,0.0,1.0,True,2,0
142,3,28,0.0,1.0,True,2,0
144,3,37,0.0,10.0,True,2,0
146,3,40,0.0,10.0,True,2,0
148,3,240,0.0,10.0,True,2,0
150,3,19,0.0,10.0,True,2,0
152,3,17,0.0,10.0,True,2,0
154,3,100,0.0,100000.0,True,2,0
156,3,98,1.0,100000.0,True,2,0
158,3,244,0.0,1.0,False,2,0
160,3,101,0.0,1.0,False,2,0
162,3,10,0.0,1000.0,False,2,0
164,3,225,0.0,200.0,False,2,0
166,3,14,0.0,10.0,True,2,0
168,3,16,0.0,10.0,True,2,0
170,3,103,0.0,10.0,True,2,0
172,3,232,1.0,4.0,False,2,0
174,3,236,1.0,4.0,False,2,0
176,3,115,1.0,100.0,False,2,0
178,3,109,0.0,1.0,False,2,0
180,3,227,0.0,100.0,False,2,0
182,3,116,1.0,4.0,False,2,0
183,7,7,0.0,100.0,False,2,0
184,7,104,1.0,100000.0,True,2,0
185,7,219,0.0,1.0,False,2,0
186,7,224,0.0,1.0,False,2,0
187,7,215,0.0,1.0,False,2,0
188,7,220,0.0,1.0,False,2,0
189,7,217,0.0,1.0,False,2,0
190,7,222,0.0,1.0,False,2,0
191,7,216,0.0,1.0,False,2,0
192,7,221,0.0,1.0,False,2,0
193,7,218,0.0,1.0,False,2,0
194,7,223,0.0,1.0,False,2,0
195,7,129,0.0,10.0,True,2,0
196,7,128,0.0,10.0,True,2,0
197,7,139,0.0,1.0,True,2,0
198,7,123,0.0,10.0,True,2,0
199,7,155,0.0,10.0,True,2,0
200,7,136,0.0,1.0,True,2,0
201,7,120,0.0,10.0,True,2,0
202,7,152,0.0,10.0,True,2,0
203,7,126,0.0,10.0,True,2,0
204,7,135,0.0,1.0,True,2,0
205,7,119,0.0,10.0,True,2,0
206,7,151,0.0,10.0,True,2,0
207,7,138,0.0,1.0,True,2,0
208,7,122,0.0,10.0,True,2,0
209,7,154,0.0,10.0,True,2,0
210,7,137,0.0,1.0,True,2,0
211,7,121,0.0,10.0,True,2,0
212,7,153,0.0,10.0,True,2,0
213,7,127,0.0,500.0,True,2,0
214,7,146,0.0,1.0,True,2,0
215,7,130,0.0,10.0,True,2,0
216,7,162,0.0,10.0,True,2,0
217,7,133,0.0,1.0,True,2,0
218,7,117,0.0,10.0,True,2,0
219,7,149,0.0,10.0,True,2,0
220,7,134,0.0,1.0,True,2,0
221,7,118,0.0,10.0,True,2,0
222,7,150,0.0,10.0,True,2,0
223,7,147,0.0,1.0,True,2,0
224,7,131,0.0,10.0,True,2,0
225,7,163,0.0,10.0,True,2,0
226,7,125,0.0,10.0,True,2,0
227,7,140,0.0,1.0,True,2,0
228,7,124,0.0,10.0,True,2,0
229,7,156,0.0,10.0,True,2,0
230,7,113,0.0,1.0,False,2,0
231,7,200,0.0,50.0,True,2,0
232,7,202,0.0,50.0,True,2,0
233,7,201,0.0,50.0,True,2,0
234,7,203,0.0,50.0,True,2,0
235,7,205,0.0,50.0,True,2,0
236,7,204,0.0,50.0,True,2,0
237,7,199,0.0,50.0,True,2,0
238,7,198,0.0,50.0,True,2,0
239,7,209,0.0,50.0,True,2,0
240,7,211,0.0,50.0,True,2,0
241,7,210,0.0,50.0,True,2,0
242,7,212,0.0,50.0,True,2,0
243,7,214,0.0,50.0,True,2,0
244,7,213,0.0,50.0,True,2,0
245,7,206,0.0,50.0,True,2,0
246,7,208,0.0,50.0,True,2,0
247,7,207,0.0,50.0,True,2,0
248,7,197,0.0,50.0,True,2,0
249,7,42,0.0,1.0,True,2,0
250,7,43,0.0,1.0,True,2,0
251,7,53,0.0,1.0,True,2,0
252,7,41,0.0,1.0,True,2,0
253,7,44,0.0,1.0,True,2,0
254,7,45,0.0,1.0,True,2,0
255,7,46,0.0,1.0,True,2,0
256,7,47,0.0,1.0,True,2,0
257,7,48,0.0,1.0,True,2,0
258,7,49,0.0,1.0,True,2,0
259,7,50,0.0,1.0,True,2,0
260,7,51,0.0,1.0,True,2,0
261,7,52,0.0,1.0,True,2,0
262,7,54,0.0,1.0,True,2,0
263,7,70,0.0,10.0,True,2,0
264,7,71,0.0,10.0,True,2,0
265,7,81,0.0,10.0,True,2,0
266,7,69,0.0,10.0,True,2,0
267,7,72,0.0,10.0,True,2,0
268,7,73,0.0,10.0,True,2,0
269,7,74,0.0,10.0,True,2,0
270,7,75,0.0,10.0,True,2,0
271,7,76,0.0,10.0,True,2,0
272,7,77,0.0,10.0,True,2,0
273,7,78,0.0,10.0,True,2,0
274,7,79,0.0,10.0,True,2,0
275,7,80,0.0,10.0,True,2,0
276,7,82,0.0,10.0,True,2,0
277,7,56,0.0,1.0,True,2,0
278,7,57,0.0,1.0,True,2,0
279,7,67,0.0,1.0,True,2,0
280,7,55,0.0,1.0,True,2,0
281,7,58,0.0,1.0,True,2,0
282,7,59,0.0,1.0,True,2,0
283,7,60,0.0,1.0,True,2,0
284,7,61,0.0,1.0,True,2,0
285,7,62,0.0,1.0,True,2,0
286,7,63,0.0,1.0,True,2,0
287,7,64,0.0,1.0,True,2,0
288,7,65,0.0,1.0,True,2,0
289,7,66,0.0,1.0,True,2,0
290,7,68,0.0,1.0,True,2,0
291,7,84,0.0,10.0,True,2,0
292,7,85,0.0,10.0,True,2,0
293,7,95,0.0,10.0,True,2,0
294,7,83,0.0,10.0,True,2,0
295,7,86,0.0,10.0,True,2,0
296,7,87,0.0,10.0,True,2,0
297,7,88,0.0,10.0,True,2,0
298,7,89,0.0,10.0,True,2,0
299,7,90,0.0,10.0,True,2,0
300,7,91,0.0,10.0,True,2,0
301,7,92,0.0,10.0,True,2,0
302,7,93,0.0,10.0,True,2,0
303,7,94,0.0,10.0,True,2,0
304,7,96,0.0,10.0,True,2,0
305,7,21,0.0,1.0,True,2,0
306,7,22,0.0,1.0,True,2,0
307,7,24,0.0,1.0,True,2,0
308,7,25,0.0,1.0,True,2,0
309,7,23,0.0,1.0,True,2,0
310,7,31,0.0,10.0,True,2,0
311,7,32,0.0,10.0,True,2,0
312,7,34,0.0,10.0,True,2,0
313,7,35,0.0,10.0,True,2,0
314,7,33,0.0,10.0,True,2,0
315,7,26,0.0,1.0,True,2,0
316,7,27,0.0,1.0,True,2,0
317,7,29,0.0,1.0,True,2,0
318,7,30,0.0,1.0,True,2,0
319,7,28,0.0,1.0,True,2,0
320,7,36,0.0,10.0,True,2,0
321,7,37,0.0,10.0,True,2,0
322,7,39,0.0,10.0,True,2,0
323,7,40,0.0,10.0,True,2,0
324,7,38,0.0,10.0,True,2,0
325,7,240,0.0,10.0,True,2,0
326,7,18,0.0,10.0,True,2,0
327,7,19,0.0,10.0,True,2,0
328,7,20,0.0,10.0,True,2,0
329,7,17,0.0,10.0,True,2,0
330,7,112,0.0,1000.0,False,2,0
331,7,100,0.0,100000.0,True,2,0
332,7,99,0.0,1.0,False,2,0
333,7,98,1.0,100000.0,True,2,0
334,7,97,0.0,1.0,False,2,0
335,7,244,0.0,1.0,False,2,0
336,7,102,0.0,100000.0,True,2,0
337,7,101,0.0,1.0,False,2,0
338,7,114,0.0,1.0,False,2,0
339,7,10,0.0,1000.0,False,2,0
340,7,11,0.0,1000.0,False,2,0
341,7,225,0.0,200.0,False,2,0
342,7,13,0.0,10.0,True,2,0
343,7,14,0.0,10.0,True,2,0
344,7,15,0.0,10.0,True,2,0
345,7,16,0.0,10.0,True,2,0
346,7,12,0.0,10.0,True,2,0
347,7,103,0.0,10.0,True,2,0
348,7,107,0.0,1.0,False,2,0
349,7,232,1.0,4.0,False,2,0
350,7,228,1.0,4.0,False,2,0
351,7,236,1.0,4.0,False,2,0
352,7,111,1.0,11.0,False,2,0
353,7,115,1.0,100.0,False,2,0
354,7,105,0.0,1.0,False,2,0
355,7,109,0.0,1.0,False,2,0
356,7,226,0.0,1.0,False,2,0
357,7,227,0.0,100.0,False,2,0
358,7,110,1.0,11.0,False,2,0
359,7,116,1.0,4.0,False,2,0
360,7,276,1.0,6.0,True,2,0
0,7,257,0.0,10.0,True,2,0
361,7,275,1.0,6.0,True,2,0
362,7,256,0.0,10.0,True,2,0
363,7,273,1.0,6.0,True,2,0
365,7,284,0.0,10.0,True,2,0
366,7,265,0.0,1.0,True,2,0
368,7,251,0.0,10.0,True,2,0
369,7,281,0.0,10.0,True,2,0
370,7,280,0.0,10.0,True,2,0
371,7,283,0.0,10.0,True,2,0
372,7,282,0.0,10.0,True,2,0
364,7,254,0.0,10.0,True,2,0
367,7,270,1.0,6.0,True,2,0
373,7,278,0.0,10.0,True,2,0
375,7,279,0.0,10.0,True,2,0
377,7,261,0.0,1.0,True,2,0
379,7,263,0.0,1.0,True,2,0
380,7,266,0.0,1.0,True,2,0
381,7,259,0.0,1.0,True,2,0
382,7,260,0.0,1.0,True,2,0
383,7,269,1.0,6.0,True,2,0
385,7,272,1.0,6.0,True,2,0
387,7,271,1.0,6.0,True,2,0
389,7,274,1.0,6.0,True,2,0
391,7,277,1.0,6.0,True,2,0
393,7,267,1.0,6.0,True,2,0
395,7,268,1.0,6.0,True,2,0
397,7,245,0.0,10.0,True,2,0
398,7,247,0.0,10.0,True,2,0
399,7,246,0.0,1.0,True,2,0
374,7,288,0.0,10.0,True,2,0
376,7,262,0.0,1.0,True,2,0
378,7,264,0.0,1.0,True,2,0
384,7,250,0.0,10.0,True,2,0
386,7,253,0.0,10.0,True,2,0
388,7,252,0.0,10.0,True,2,0
390,7,255,0.0,100.0,True,2,0
392,7,258,0.0,20.0,True,2,0
394,7,248,0.0,10.0,True,2,0
396,7,249,0.0,10.0,True,2,0
